
Hidden_Neurons,100,1,41189.09411692963,40356.95821888529
Hidden_Neurons,100,2,40128.38081209782,39299.51663363111
Hidden_Neurons,100,3,42209.81896412264,41377.86476924825
Network_Layers,"[12, 10, 1]",1,41197.42286316696,40338.663524449854
Network_Layers,"[12, 10, 1]",2,41173.587002408516,40453.19125500465
Network_Layers,"[12, 10, 1]",3,41702.01573967358,40877.447748930885
Network_Layers,"[12, 20, 1]",1,40895.07095237514,40128.12996830442
Network_Layers,"[12, 20, 1]",2,41321.297597327524,40373.23622903056
Network_Layers,"[12, 20, 1]",3,41606.307590021206,40671.54554163398
Network_Layers,"[12, 20, 10, 1]",1,43123.03464531636,42242.2330376235
Network_Layers,"[12, 20, 10, 1]",2,41839.70297128476,41037.69340003295
Network_Layers,"[12, 20, 10, 1]",3,40508.24392676695,39811.15964724981
Network_Layers,"[12, 20, 20, 10, 1]",1,42804.810019645,41958.32646031703
Network_Layers,"[12, 20, 20, 10, 1]",2,43128.07150920705,42290.66860668442
Network_Layers,"[12, 20, 20, 10, 1]",3,44391.461204213505,43457.524089043414
Network_Shapes,"[12, 40, 1]",1,40699.71544115503,39730.878527771325
Network_Shapes,"[12, 40, 1]",2,41179.57750314131,40286.21868388177
Network_Shapes,"[12, 40, 1]",3,42042.583064001316,41131.6378216769
Network_Shapes,"[12, 20, 20, 1]",1,41722.91467253104,40849.60872854175
Network_Shapes,"[12, 20, 20, 1]",2,41945.25760118125,41089.254283847375
Network_Shapes,"[12, 20, 20, 1]",3,41568.29496643961,40885.886436846915
Network_Shapes,"[12, 30, 10, 1]",1,40905.96129654257,40094.28865194255
Network_Shapes,"[12, 30, 10, 1]",2,40724.59339929377,39909.00732034323
Network_Shapes,"[12, 30, 10, 1]",3,41420.380367530015,40511.23859651921
Network_Shapes,"[12, 10, 30, 1]",1,43101.48370091349,42172.81879964546
Network_Shapes,"[12, 10, 30, 1]",2,41019.259678364724,40235.18532497714
Network_Shapes,"[12, 10, 30, 1]",3,42478.77353086128,41597.13058630511
Train_Size,1000,1,46867.76489271948,45500.763444966906
Train_Size,1000,2,49228.33770633735,47736.87940703575
Train_Size,1000,3,50098.12943146691,48283.42107905691
Train_Size,5000,1,43121.584411900774,42372.62710353215
Train_Size,5000,2,43273.69869176695,42455.144288477444
Train_Size,5000,3,43035.75017041836,42305.2515767649
Train_Size,10000,1,42102.21105863527,41752.16126666808
Train_Size,10000,2,41642.61140049541,41139.70293477123
Train_Size,10000,3,41909.79266738162,41454.68908413715
Train_Size,16512,1,41797.77846546164,40884.908913969804
Train_Size,16512,2,40772.32466089561,39976.65900718375
Train_Size,16512,3,40101.58641145111,39346.437812846925
Test_Size,500,1,42381.551875521895,41202.717845327956
Test_Size,500,2,41252.25650152052,40454.15560305238
Test_Size,500,3,41362.154066341776,40440.25456015027
Test_Size,1000,1,41205.79214533541,39328.767361157
Test_Size,1000,2,41080.9528814251,39749.09258804905
Test_Size,1000,3,41100.34949164807,39274.98300508026
Test_Size,2000,1,40330.9158554789,38730.906404334506
Test_Size,2000,2,40876.49757055273,39356.20987921668
Test_Size,2000,3,42067.46825580958,40452.63481318994
Test_Size,4128,1,40951.89292548787,40100.4552475579
Test_Size,4128,2,42635.475704525554,41579.78663167042
Test_Size,4128,3,41165.44985346114,40296.46972869405
